trait1	trait2	trait3
sp9	1.0121586679707	0.793974535854703	-0.030105782471356
sp7	1.45373705843708	0.782227657086204	0.0679755975773237
sp5	1.13188711882798	-0.265641775769229	-0.162164500811321
sp6	0.0546708259693882	0.33597859143205	-2.24009672310775
sp8	-0.283944900840153	0.763965429543412	1.52817634373564
sp3	0.517892795462356	1.78057851360136	1.05772208644979
sp1	0.350640844049871	1.7057395744083	-1.49703317688111
sp10	1.82665507102672	2.67492230750164	-1.18756703209543
sp4	1.5368328190987	2.2947898053197	-1.32676210843966
sp2	2.62588506050048	1.63099597287353	2.51961022477822
