trait1	trait2	trait3	trait4	trait5
spA	1	20	2	1403	48.0550171302612
spB	1.72405417401718	16.8317472496779	104.56449119082	693.036187502586	48.1169782692728
spC	2.97236279494606	14.165385773852	3.51972855697906	169.103421473057	47.867839801198
spD	5.12451448332012	11.921409651983	6.19424455740694	118.850637453111	47.0463727916443
spE	8.83494058477954	10.0329077061024	33.7618220339022	41.2618672293903	48.7603402190967
spF	15.231916192383	8.44356833442309	323.849015228382	986.067832892914	48.3264815026069
spG	26.2606486897577	7.10600040451967	10.9010297288087	83.53156843288	48.6450585780394
spH	45.2747809859755	5.98032013824921	59.4162245741851	29	48.5501007141726
spI	78.0561751365847	5.03296185195847	19.1843328184828	240.604238788169	48.7799291374553
spJ	134.573074552045	4.2356770904718	1003	487.085311138305	48.2194758150936
spK	232.011270891778	3.56469231090362	184.019312845157	58.7083340433044	46.7295664823164
spL	400	3	569.930313524441	342.337246748481	46.9204994178192
